Lon,Lat,Region,Year,BarySL,GIA_Field_KS,IBAint,SDSL,SL_multi,Reconstruction
-70.375,42.875,4,1880,-0.11717420689826451,-0.1553660738659386,-0.008101728858032231,-0.04766597740718687,-0.1729419131634835,-0.3283079870294222
-70.375,42.875,4,1881,-0.11661489332552333,-0.1542641868172443,0.011651220067748973,-0.03161833459292089,-0.13658200785069527,-0.29084619466793954
-70.375,42.875,4,1882,-0.11604096972981053,-0.15316229976854956,-0.009879213340454093,-0.037191318311474535,-0.1631115013817389,-0.31627380115028875
-70.375,42.875,4,1883,-0.11545243611112195,-0.15206041271985482,-0.01798181400451644,-0.026421142089996887,-0.15985539220563505,-0.3119158049254901
-70.375,42.875,4,1884,-0.11484929246946145,-0.15095852567116008,0.0028479524896241138,-0.0307787072127204,-0.14278004719255738,-0.29373857286371785
-70.375,42.875,4,1885,-0.11423153880482713,-0.1498566386224658,0.011475429970092875,-0.023745398921240075,-0.12650150775597457,-0.2763581463784401
-70.375,42.875,4,1886,-0.11359917511721852,-0.14875475157377105,-0.007333292813110368,-0.01744676739097467,-0.13837923532130353,-0.2871339868950746
-70.375,42.875,4,1887,-0.11295220140663807,-0.1476528645250763,-0.011588791065063346,-0.01392309722975723,-0.13846408970145865,-0.28611695422653494
-70.375,42.875,4,1888,-0.1122906176730828,-0.14655097747638202,0.0014828631243896295,-0.018465046771476125,-0.12927280132016947,-0.27582377879655134
-70.375,42.875,4,1889,-0.11161442391655509,-0.14544909042768728,-0.005858134268188439,-0.011733666011261523,-0.12920622419600516,-0.2746553146236923
-70.375,42.875,4,1890,-0.11092362013705334,-0.14434720337899254,-0.017230435606079127,-0.001502917796515751,-0.12965697353964792,-0.27400417691864076
-70.375,42.875,4,1891,-0.110218206334578,-0.14324531633029824,-0.008751587139282247,-0.00782975870010594,-0.12679955217396607,-0.27004486850426446
-70.375,42.875,4,1892,-0.10949818250913097,-0.1421434292816035,0.014950615780639663,-0.011059487940295928,-0.10560705466878756,-0.24775048395039073
-70.375,42.875,4,1893,-0.1087635486607096,-0.14104154223290877,0.013523893827514727,-0.009482776649615264,-0.10472243148281009,-0.2457639737157189
-70.375,42.875,4,1894,-0.10801430478931286,-0.13993965518421447,-0.014690586856079008,-0.007271238735276308,-0.12997613038066783,-0.2699157855648826
-70.375,42.875,4,1895,-0.10725045089494607,-0.13883776813551973,0.001157683016967839,-0.0075118127823879405,-0.11360458066036613,-0.2524423487958859
-70.375,42.875,4,1896,-0.10647198697760336,-0.137735881086825,-7.237811584473988e-5,-0.013785283682148096,-0.12032964877559611,-0.25806552986242115
-70.375,42.875,4,1897,-0.10567891303728442,-0.13663399403813026,-0.010317530899047899,0.009698076101071299,-0.10629836783526124,-0.24293236187339132
-70.375,42.875,4,1898,-0.10487122907399649,-0.13553210698943596,-0.0035358008697510533,-0.003136894424238898,-0.11154392436798652,-0.2470760313574224
-70.375,42.875,4,1899,-0.10404893508773426,-0.13443021994074122,-0.011264218135375986,-0.0034914546559963286,-0.1188046078791065,-0.2532348278198478
-70.375,42.875,4,1900,-0.10618515859426265,-0.13332833289204649,-0.0010785121002197054,7.886113788864599e-4,-0.10647505931559585,-0.23980339220764235
-70.375,42.875,4,1901,-0.10343565366799415,-0.1322264458433522,0.010932653554077121,0.008463199881117272,-0.08403980023279999,-0.21626624607615194
-70.375,42.875,4,1902,-0.09995834112319943,-0.13112455879465745,0.009302446102905322,0.006577316852821872,-0.08407857816747238,-0.2152031369621297
-70.375,42.875,4,1903,-0.09946810601800461,-0.13002267174596271,-0.00972491733459469,0.0037429709827777142,-0.10545005236982184,-0.2354727241157843
-70.375,42.875,4,1904,-0.09947259985486494,-0.12892078469726842,-0.014393053574829087,-0.0018461029160043287,-0.11571175634569834,-0.24463254104296678
-70.375,42.875,4,1905,-0.0979349969380815,-0.12781889764857368,-0.01431377235412603,-0.0055204918375725545,-0.11776926112977987,-0.24558815877835377
-70.375,42.875,4,1906,-0.09833326458060374,-0.12671701059987894,-0.008277899453735419,-0.010227308194708464,-0.11683847222904747,-0.24355548282892656
-70.375,42.875,4,1907,-0.09681429845792497,-0.12561512355118465,-0.0041217759576416295,-0.009293231844712783,-0.11022930626027952,-0.23584442981146403
-70.375,42.875,4,1908,-0.09646686001242431,-0.12451323650248991,-0.008011704639282234,-0.010684576052338563,-0.11516314070404501,-0.23967637720653504
-70.375,42.875,4,1909,-0.09453386179060039,-0.12341134945379517,0.005512636981811456,-0.005722284929678101,-0.09474350973846701,-0.2181548591922622
-70.375,42.875,4,1910,-0.09433473592973167,-0.12230946240510043,0.012609419393920891,-0.012027479861876888,-0.09375279639768791,-0.21606225880278812
-70.375,42.875,4,1911,-0.09349791459135333,-0.12120757535640614,-0.013782588984985302,-0.018795777576752524,-0.1260762811530913,-0.24728385650949727
-70.375,42.875,4,1912,-0.09086125243207287,-0.1201056883077114,-0.005615570811157253,-0.017738081485159027,-0.11421490472838917,-0.2343205930361006
-70.375,42.875,4,1913,-0.09053472584687572,-0.11900380125901666,-0.006450480674438433,-0.017758118331733932,-0.11474332485304822,-0.23374712611206475
-70.375,42.875,4,1914,-0.08956480797560017,-0.11790191421032237,-0.011203370830688461,-0.019044610856924864,-0.11981278966321345,-0.23771470387353585
-70.375,42.875,4,1915,-0.08649983421075057,-0.11680002716162763,0.014399630321655359,-0.014635412228904682,-0.086735616118,-0.20353564327962753
-70.375,42.875,4,1916,-0.08610068303055705,-0.11569814011293289,0.005899660165405381,-0.017465412040489695,-0.09766643490564146,-0.21336457501857425
