Process,Lon,Lat,Year,m_se
Barystatic,-70.375,42.875,1982,0.0030304726994751906
Barystatic,-70.375,42.875,1983,0.0028733407211803943
Barystatic,-70.375,42.875,1984,0.0029070624355018847
Barystatic,-70.375,42.875,1985,0.002752868116869696
Barystatic,-70.375,42.875,1986,0.00286313323633731
Barystatic,-70.375,42.875,1987,0.0027271897005940187
Barystatic,-70.375,42.875,1988,0.0026575102226292645
Barystatic,-70.375,42.875,1989,0.0026140745290011112
Barystatic,-70.375,42.875,1990,0.0025789672925236214
Barystatic,-70.375,42.875,1991,0.002634889313407612
Barystatic,-70.375,42.875,1992,0.002465317277190493
Barystatic,-70.375,42.875,1993,0.002573769070784632
Barystatic,-70.375,42.875,1994,0.00243311687078801
Barystatic,-70.375,42.875,1995,0.0023544876568789676
Barystatic,-70.375,42.875,1996,0.002301700256073333
Barystatic,-70.375,42.875,1997,0.0020978320834156997
Barystatic,-70.375,42.875,1998,0.0020782285566191684
Barystatic,-70.375,42.875,1999,0.0020926726474335593
Barystatic,-70.375,42.875,2000,0.001822990142081553
Barystatic,-70.375,42.875,2001,0.0018555289130786495
Barystatic,-70.375,42.875,2002,0.0019251742210344542
Barystatic,-70.375,42.875,2003,0.0014492486348694363
Barystatic,-70.375,42.875,2004,0.001230991359480339
Barystatic,-70.375,42.875,2005,0.0010476552593265032
Barystatic,-70.375,42.875,2006,8.661508384848292e-4
Barystatic,-70.375,42.875,2007,7.007808224641975e-4
Barystatic,-70.375,42.875,2008,6.12455237207708e-4
Barystatic,-70.375,42.875,2009,6.040430434440736e-4
Barystatic,-70.375,42.875,2010,7.048194366286901e-4
Barystatic,-70.375,42.875,2011,8.362791978415821e-4
Barystatic,-70.375,42.875,2012,9.85253497467467e-4
Barystatic,-70.375,42.875,2013,0.0011776007695587264
Barystatic,-70.375,42.875,2014,0.0014106590165531366
Barystatic,-70.375,42.875,2015,0.0015796177683746978
Barystatic,-70.375,42.875,2016,0.0018123662419453073
Barystatic,-70.375,42.875,2017,0.0020947499744716587
Barystatic,-70.375,42.875,2018,0.0022870714244735864
Barystatic,-70.375,42.875,2019,0.0024992951024035964
Barystatic,-70.375,42.875,2020,0.0027094681148553523
Barystatic,-70.375,42.875,2021,0.0029594533724960417
Sterodynamic,-70.375,42.875,1880,0.030002768354188632
Sterodynamic,-70.375,42.875,1881,0.029350809186680437
Sterodynamic,-70.375,42.875,1882,0.02920250657878989
Sterodynamic,-70.375,42.875,1883,0.029002546281164606
Sterodynamic,-70.375,42.875,1884,0.02860116465735254
Sterodynamic,-70.375,42.875,1885,0.028702645052658692
Sterodynamic,-70.375,42.875,1886,0.028284347619392143
Sterodynamic,-70.375,42.875,1887,0.027656066818481
Sterodynamic,-70.375,42.875,1888,0.027738340002485696
Sterodynamic,-70.375,42.875,1889,0.02749489256422101
Sterodynamic,-70.375,42.875,1890,0.027216286905959754
Sterodynamic,-70.375,42.875,1891,0.027397779080295784
Sterodynamic,-70.375,42.875,1892,0.027323837814995956
Sterodynamic,-70.375,42.875,1893,0.026802562443975
Sterodynamic,-70.375,42.875,1894,0.02673126500125697
Sterodynamic,-70.375,42.875,1895,0.02640152588242033
Sterodynamic,-70.375,42.875,1896,0.026315615843133824
Sterodynamic,-70.375,42.875,1897,0.026653682447318312
Sterodynamic,-70.375,42.875,1898,0.025653995872793385
Sterodynamic,-70.375,42.875,1899,0.025337941922108084
Sterodynamic,-70.375,42.875,1900,0.02587667545785131
Sterodynamic,-70.375,42.875,1901,0.025501013432775107
Sterodynamic,-70.375,42.875,1902,0.025717941616759887
Sterodynamic,-70.375,42.875,1903,0.02539751898031743
Sterodynamic,-70.375,42.875,1904,0.024962858875955063
Sterodynamic,-70.375,42.875,1905,0.02506644856151826
Sterodynamic,-70.375,42.875,1906,0.024538148451896412
Sterodynamic,-70.375,42.875,1907,0.02463739588937904
Sterodynamic,-70.375,42.875,1908,0.02471923463069441
Sterodynamic,-70.375,42.875,1909,0.024342148185844476
Sterodynamic,-70.375,42.875,1910,0.024517605031097452
Sterodynamic,-70.375,42.875,1911,0.023905747116197678
Sterodynamic,-70.375,42.875,1912,0.024260800292383557
Sterodynamic,-70.375,42.875,1913,0.023743897012071524
Sterodynamic,-70.375,42.875,1914,0.023791599561631484
Sterodynamic,-70.375,42.875,1915,0.024002341456611308
Sterodynamic,-70.375,42.875,1916,0.024095994821357204
Sterodynamic,-70.375,42.875,1917,0.023369318372825028
Sterodynamic,-70.375,42.875,1918,0.023702787099925335
Sterodynamic,-70.375,42.875,1919,0.023333221837085024
Sterodynamic,-70.375,42.875,1920,0.023148875445752205
Sterodynamic,-70.375,42.875,1921,0.022650361375995565
Sterodynamic,-70.375,42.875,1922,0.022756861098778506
Sterodynamic,-70.375,42.875,1923,0.022561274379138498
Sterodynamic,-70.375,42.875,1924,0.022535384552981222
Sterodynamic,-70.375,42.875,1925,0.022496718509742438
Sterodynamic,-70.375,42.875,1926,0.022211294453350964
Sterodynamic,-70.375,42.875,1927,0.021934874736549006
Sterodynamic,-70.375,42.875,1928,0.022435970082557218
Sterodynamic,-70.375,42.875,1929,0.022148529130979762
Sterodynamic,-70.375,42.875,1930,0.022245048083732597
Sterodynamic,-70.375,42.875,1931,0.021605599327812485
