CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,-14.25
lon,-170.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,-14.282999992370605
lon,189.31700134277344
code,56
location,Pago Pago
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1994.0937713894593,0.2315213116899288,,1994.0937713894593,-7.841945542609258
1994.107460643395,0.06392668342353997,,1994.107460643395,-7.954656176338924
1994.1211498973305,-0.2109184212726253,,1994.1211498973305,-8.059210583624298
1994.1348391512663,-0.5507228881881838,,1994.1348391512663,-8.086336045645497
1994.148528405202,-0.8643125889269233,,1994.148528405202,-8.097611403462622
1994.1622176591375,-1.1082744748219748,,1994.1622176591375,-8.147013218622469
1994.1759069130733,-1.3083137196445866,,1994.1759069130733,-8.180920250614436
1994.1895961670089,-1.5631408836082328,,1994.1895961670089,-7.968883749745284
1994.2032854209447,-1.9452446456155157,,1994.2032854209447,-8.126701938677844
1994.2169746748802,-2.510376916621975,,1994.2169746748802,-8.239491010504542
1994.2306639288158,-3.183398085251675,,1994.2306639288158,-8.4462912333327
1994.2443531827516,-3.8016251426225125,,1994.2443531827516,-8.840054548478339
1994.2580424366872,-4.628755317643435,,1994.2580424366872,-9.367629378362
1994.2717316906228,-5.3347695143997145,,1994.2717316906228,-10.060512295052238
1994.2854209445586,-5.943181469070671,,1994.2854209445586,-10.711751661521996
1994.2991101984942,-6.353289319453166,,1994.2991101984942,-11.206696111994006
1994.3127994524298,-6.6065179736020685,,1994.3127994524298,-11.569126937219876
1994.3264887063656,-6.782927353528545,,1994.3264887063656,-11.93046731453584
1994.3401779603012,-6.979331075387711,,1994.3401779603012,-12.091299793270592
1994.3538672142367,-7.111084299118181,,1994.3538672142367,-12.490577282455245
1994.3675564681726,-7.152570356338459,,1994.3675564681726,-12.744066605425433
1994.3812457221081,-7.001999135991732,,1994.3812457221081,-12.859717485602348
1994.3949349760437,-6.699540893984679,,1994.3949349760437,-12.822265149277554
1994.4086242299795,-6.339542660795905,,1994.4086242299795,-12.747066961034944
1994.422313483915,-5.922946209832814,,1994.422313483915,-12.249327263161259
1994.4360027378507,-5.379495954082274,,1994.4360027378507,-11.628710643879844
1994.4496919917865,-4.763345601827899,,1994.4496919917865,-10.62318990572091
1994.463381245722,-4.100829116704164,,1994.463381245722,-9.747513355637839
1994.4770704996577,-3.5579749385107386,,1994.4770704996577,-9.247060541996193
1994.4907597535935,-3.213536729522834,,1994.4907597535935,-8.88247083895387
1994.504449007529,-3.0913527438068766,,1994.504449007529,-8.96042917536714
1994.5181382614649,-3.098945548904996,,1994.5181382614649,-9.195223880071206
1994.5318275154004,-3.2164921106850786,,1994.5318275154004,-8.993383840194726
1994.545516769336,-3.367303419229196,,1994.545516769336,-9.076779023428772
1994.5592060232718,-3.576226357100237,,1994.5592060232718,-8.967260670130715
1994.5728952772074,-3.7075554830968613,,1994.5728952772074,-9.017455887581875
1994.586584531143,-3.6933259548559687,,1994.586584531143,-9.28771597766604
1994.6002737850788,-3.601459199041737,,1994.6002737850788,-9.4999870627181
1994.6139630390144,-3.537233499315394,,1994.6139630390144,-9.814756211463413
1994.62765229295,-3.608734310047773,,1994.62765229295,-10.246457076425363
1994.6413415468858,-3.882476517557551,,1994.6413415468858,-10.809642188593024
1994.6550308008214,-4.301552386176282,,1994.6550308008214,-11.395921435909859
1994.668720054757,-4.726397547041845,,1994.668720054757,-11.704743261747664
1994.6824093086927,-5.1082788834051,,1994.6824093086927,-11.435710601592307
1994.6960985626283,-5.414103414123336,,1994.6960985626283,-11.327046758610996
1994.709787816564,-5.561201178292123,,1994.709787816564,-11.440211144666007
1994.7234770704997,-5.6598209100602626,,1994.7234770704997,-11.536818771768566
1994.7371663244353,-5.6655288302967275,,1994.7371663244353,-11.717094412806627
1994.7508555783709,-5.803378489689195,,1994.7508555783709,-11.873707841019492
1994.7645448323067,-6.109619705690135,,1994.7645448323067,-11.945605886658976
1994.7782340862423,-6.545222489066964,,1994.7782340862423,-12.348764829104006
1994.791923340178,-7.029565773468966,,1994.791923340178,-12.814632870846157
1994.8056125941137,-7.506336470857373,,1994.8056125941137,-13.597801729478634
1994.8193018480492,-7.8369993609634045,,1994.8193018480492,-14.029831041102245
1994.832991101985,-7.91847301456124,,1994.832991101985,-13.85768775376179
1994.8466803559206,-7.761322541068008,,1994.8466803559206,-13.774493463535531
1994.8603696098562,-7.350229096052065,,1994.8603696098562,-13.688734170167281
1994.874058863792,-6.824338693360262,,1994.874058863792,-13.416548434894047
1994.8877481177276,-6.349690947971566,,1994.8877481177276,-13.52786371908845
1994.9014373716632,-5.911611369113339,,1994.9014373716632,-13.446381385419311
1994.915126625599,-5.635601176131445,,1994.915126625599,-13.18033384005015
1994.9288158795346,-5.50997403109858,,1994.9288158795346,-13.237860279660953
1994.9425051334701,-5.448474590858759,,1994.9425051334701,-13.573155098926804
1994.956194387406,-5.37535283442028,,1994.956194387406,-13.632619830906894
1994.9698836413415,-5.228538664536648,,1994.9698836413415,-13.293326306994569
1994.9835728952771,-5.008267523230719,,1994.9835728952771,-12.963021691746961
1994.997262149213,-4.807438608871373,,1994.997262149213,-12.841675174277643
1995.0109514031485,-4.788708255291206,,1995.0109514031485,-12.913796769682106
1995.024640657084,-4.773870026462224,,1995.024640657084,-12.971527827150261
1995.03832991102,-4.861088902190078,,1995.03832991102,-13.045425843222322
1995.0520191649555,-5.069404548518554,,1995.0520191649555,-13.404481502835662
1995.065708418891,-5.239627196581351,,1995.065708418891,-13.340751980723322
1995.0793976728269,-5.359263005265382,,1995.0793976728269,-13.19245604804792
1995.0930869267625,-5.314908820152156,,1995.0930869267625,-13.205530367738127
1995.1067761806983,-5.20566416290425,,1995.1067761806983,-13.049030988598691
1995.1204654346338,-5.109483454092825,,1995.1204654346338,-12.53053330870499
1995.1341546885694,-5.0766671937315895,,1995.1341546885694,-12.296145364290176
1995.1478439425052,-5.18287293659234,,1995.1478439425052,-12.484364748339399
1995.1615331964408,-5.293159878719856,,1995.1615331964408,-12.510701848453563
1995.1752224503764,-5.414389436510831,,1995.1752224503764,-12.436915260073237
1995.1889117043122,-5.433523099265257,,1995.1889117043122,-12.509474560804277
1995.2026009582478,-5.457877219850887,,1995.2026009582478,-12.65186573679654
1995.2162902121834,-5.444659087907224,,1995.2162902121834,-12.741508506677604
1995.2299794661192,-5.317255534471872,,1995.2299794661192,-12.402054896891713
1995.2436687200548,-5.248485027730028,,1995.2436687200548,-12.249530835046205
1995.2573579739903,-5.258194556645734,,1995.2573579739903,-12.515398011112028
1995.2710472279261,-5.234027176561503,,1995.2710472279261,-12.53115180710396
1995.2847364818617,-5.053408381827719,,1995.2847364818617,-12.49753271149978
1995.2984257357973,-4.88017512025578,,1995.2984257357973,-12.746044082049558
1995.3121149897331,-4.73144126712373,,1995.3121149897331,-12.846623013259073
1995.3258042436687,-4.623341279617282,,1995.3258042436687,-12.915311093589795
1995.3394934976043,-4.61992070283902,,1995.3394934976043,-12.87577184755675
1995.35318275154,-4.72174564374047,,1995.35318275154,-12.705424725997107
1995.3668720054757,-4.827792265130763,,1995.3668720054757,-12.735427018652395
1995.3805612594113,-4.870060222844535,,1995.3805612594113,-12.481427325312637
1995.394250513347,-4.695348667309331,,1995.394250513347,-12.320475697946534
1995.4079397672826,-4.339111080706253,,1995.4079397672826,-12.075629335202292
1995.4216290212185,-3.845177650414658,,1995.4216290212185,-11.400561851565028
1995.435318275154,-3.2883942701110063,,1995.435318275154,-10.64109942813832
1995.4490075290896,-2.776961538816442,,1995.4490075290896,-9.904453198773224
1995.4626967830254,-2.286490640678394,,1995.4626967830254,-9.197686344912528
1995.476386036961,-1.7354605154389835,,1995.476386036961,-8.450800414449692
1995.4900752908966,-1.152909808884536,,1995.4900752908966,-7.6552098858542115
1995.5037645448324,-0.40200814101054555,,1995.5037645448324,-6.579143125834792
1995.517453798768,0.5064168508690051,,1995.517453798768,-5.659969332244824
1995.5311430527036,1.5314102300768395,,1995.5311430527036,-4.727297124256783
1995.5448323066394,2.4951939744963334,,1995.5448323066394,-3.9414596030305087
1995.558521560575,3.2419765089001746,,1995.558521560575,-3.4627698832923004
1995.5722108145105,3.7088938241213674,,1995.5722108145105,-3.2053925986925194
1995.5859000684463,4.062062797242034,,1995.5859000684463,-3.1373691741160687
1995.599589322382,4.402424344294528,,1995.599589322382,-3.3114115829496376
1995.6132785763175,4.671150404487022,,1995.6132785763175,-3.372617789691489
1995.6269678302533,4.77411818441971,,1995.6269678302533,-3.6200313483865267
1995.640657084189,4.66139665585787,,1995.640657084189,-3.5528138378794356
1995.6543463381245,4.487919197009468,,1995.6543463381245,-3.408721964146433
1995.6680355920603,4.361987421408191,,1995.6680355920603,-3.4641197074155183
1995.6817248459959,4.108182661329221,,1995.6817248459959,-3.7339867579822155
1995.6954140999314,3.6710810633670077,,1995.6954140999314,-4.087307666738799
1995.7091033538672,3.080264065301715,,1995.7091033538672,-4.670149323695104
1995.7227926078028,2.518949659013462,,1995.7227926078028,-4.967196028494859
1995.7364818617386,2.1171155682805605,,1995.7364818617386,-5.317126912463257
1995.7501711156742,1.8592186061629177,,1995.7501711156742,-5.435682116518359
1995.7638603696098,1.5747241499494449,,1995.7638603696098,-5.538725766399699
1995.7775496235456,1.1738534037920882,,1995.7775496235456,-5.626844644014472
1995.7912388774812,0.8469389885342491,,1995.7912388774812,-5.646867682567791
1995.8049281314168,0.6108411690797895,,1995.8049281314168,-5.707229934439571
1995.8186173853526,0.44212151060602795,,1995.8186173853526,-5.847181626629169
1995.8323066392882,0.2907172891070674,,1995.8323066392882,-5.905996789335676
1995.8459958932237,0.04066810968164535,,1995.8459958932237,-6.053720564355919
1995.8596851471596,-0.02501702568520365,,1995.8596851471596,-6.160378902114335
1995.8733744010951,-0.04957205505225441,,1995.8733744010951,-6.011343555115346
1995.8870636550307,0.208298394281912,,1995.8870636550307,-5.915006764725272
1995.9007529089665,0.16670530387698654,,1995.9007529089665,-6.071996895875165
1995.914442162902,0.011158400043029508,,1995.914442162902,-6.221320040967026
1995.9281314168377,-0.48947187516396085,,1995.9281314168377,-6.455735600046362
1995.9418206707735,-1.0467157393598148,,1995.9418206707735,-6.652519898060969
1995.955509924709,-1.5630236371837278,,1995.955509924709,-7.104233332446238
1995.9691991786447,-2.0115152532325147,,1995.9691991786447,-7.3725679739130126
1995.9828884325805,-2.40091494318686,,1995.9828884325805,-7.657583204181263
1995.996577686516,-2.754979023367495,,1995.996577686516,-8.166944562038466
1996.0102669404519,-3.3021837919729373,,1996.0102669404519,-8.55439625585364
1996.0239561943874,-3.862040092172876,,1996.0239561943874,-8.504390020227744
1996.037645448323,-4.458163573079184,,1996.037645448323,-8.485946764814543
1996.0513347022588,-4.787303785337,,1996.0513347022588,-8.529596632909756
1996.0650239561944,-4.960922260855934,,1996.0650239561944,-8.42739688876738
1996.07871321013,-4.684088064511328,,1996.07871321013,-8.232950102473918
1996.0924024640658,-4.374670956663949,,1996.0924024640658,-7.846037400394967
1996.1060917180014,-3.951306892298279,,1996.1060917180014,-7.597250790260929
1996.119780971937,-3.583149545980231,,1996.119780971937,-6.89416244487706
1996.1334702258728,-3.1882050900529846,,1996.1334702258728,-6.382876567137638
1996.1471594798084,-2.660726950709418,,1996.1471594798084,-6.078809521648106
1996.160848733744,-1.908963175155589,,1996.160848733744,-5.559005533714989
1996.1745379876797,-0.9899283796646797,,1996.1745379876797,-4.800603037839212
1996.1882272416153,0.21667090768697833,,1996.1882272416153,-4.280836087104027
1996.201916495551,1.465766319926066,,1996.201916495551,-4.084724570584289
1996.2156057494867,2.583901622889208,,1996.2156057494867,-3.8589147865258195
1996.2292950034223,3.4909753987494505,,1996.2292950034223,-3.5116704890095933
1996.2429842573579,4.124302039598865,,1996.2429842573579,-2.9820915541927926
1996.2566735112937,4.627412192133058,,1996.2566735112937,-2.247791357394992
1996.2703627652293,5.177104822501618,,1996.2703627652293,-1.6171871189972629
1996.2840520191648,5.900856671882814,,1996.2840520191648,-0.9140960164943117
1996.2977412731007,6.665160254015812,,1996.2977412731007,-0.5700222312775078
1996.3114305270362,7.298068985583146,,1996.3114305270362,-0.27028937682752424
1996.325119780972,7.628761949242147,,1996.325119780972,0.0690579845648846
1996.3388090349076,7.630353112814637,,1996.3388090349076,0.3858907875796627
1996.3524982888432,7.436828272796902,,1996.3524982888432,0.5720153926011409
1996.366187542779,7.25700652525098,,1996.366187542779,0.7347302368308095
1996.3798767967146,7.2313465782385355,,1996.3798767967146,1.0814571073036385
1996.3935660506502,7.3202197419861985,,1996.3935660506502,1.2812926891294696
1996.407255304586,7.362165786771964,,1996.407255304586,1.2034799649324266
1996.4209445585216,7.251761180421092,,1996.4209445585216,1.2789529769084977
1996.4346338124572,7.10409078045629,,1996.4346338124572,1.269570100880271
